seq_no,self_valid,link_valid,status
317,True,True,VALID
318,True,True,VALID
319,True,True,VALID
320,True,True,VALID
321,True,True,VALID
322,True,True,VALID
323,True,True,VALID
324,True,True,VALID
325,True,True,VALID
326,True,True,VALID
327,True,True,VALID
328,True,True,VALID
329,True,True,VALID
330,True,True,VALID
331,True,True,VALID
332,True,True,VALID
333,True,True,VALID
334,True,True,VALID
335,True,True,VALID
336,True,True,VALID
337,True,True,VALID
338,True,True,VALID
339,True,True,VALID
340,True,True,VALID
341,True,True,VALID
342,True,True,VALID
343,True,True,VALID
344,True,True,VALID
345,True,True,VALID
346,True,True,VALID
347,True,True,VALID
348,True,True,VALID
349,True,True,VALID
350,True,True,VALID
351,True,True,VALID
352,True,True,VALID
353,True,True,VALID
354,True,True,VALID
355,True,True,VALID
356,True,True,VALID
357,True,True,VALID
358,True,True,VALID
359,True,True,VALID
360,True,True,VALID
361,True,True,VALID
362,True,True,VALID
363,True,True,VALID
364,True,True,VALID
365,True,True,VALID
366,True,True,VALID
367,True,True,VALID
368,True,True,VALID
369,True,True,VALID
370,True,True,VALID
371,True,True,VALID
372,True,True,VALID
373,True,True,VALID
374,True,True,VALID
375,True,True,VALID
376,True,True,VALID
377,True,True,VALID
378,True,True,VALID
379,True,True,VALID
380,True,True,VALID
381,True,True,VALID
382,True,True,VALID
383,True,True,VALID
384,True,True,VALID
385,True,True,VALID
386,True,True,VALID
387,True,True,VALID
388,True,True,VALID
389,True,True,VALID
390,True,True,VALID
391,True,True,VALID
392,True,True,VALID
393,True,True,VALID
394,True,True,VALID
395,True,True,VALID
396,True,True,VALID
397,True,True,VALID
398,True,True,VALID
399,True,True,VALID
400,True,True,VALID
401,True,True,VALID
402,True,True,VALID
403,True,True,VALID
404,True,True,VALID
405,True,True,VALID
406,True,True,VALID
407,True,True,VALID
408,True,True,VALID
409,True,True,VALID
410,True,True,VALID
411,True,True,VALID
412,True,True,VALID
413,True,True,VALID
414,True,True,VALID
415,True,True,VALID
416,True,True,VALID
417,True,True,VALID
418,True,True,VALID
419,True,True,VALID
420,True,True,VALID
421,True,True,VALID
422,True,True,VALID
423,True,True,VALID
424,True,True,VALID
425,True,True,VALID
426,True,True,VALID
427,True,True,VALID
428,True,True,VALID
429,True,True,VALID
430,True,True,VALID
431,True,True,VALID
432,True,True,VALID
433,True,True,VALID
434,True,True,VALID
435,True,True,VALID
436,True,True,VALID
437,True,True,VALID
438,True,True,VALID
439,True,True,VALID
440,True,True,VALID
441,True,True,VALID
442,True,True,VALID
443,True,True,VALID
444,True,True,VALID
445,True,True,VALID
446,True,True,VALID
447,True,True,VALID
448,True,True,VALID
449,True,True,VALID
450,True,True,VALID
451,True,True,VALID
452,True,True,VALID
453,True,True,VALID
454,True,True,VALID
455,True,True,VALID
456,True,True,VALID
457,True,True,VALID
458,True,True,VALID
459,True,True,VALID
460,True,True,VALID
461,True,True,VALID
462,True,True,VALID
463,True,True,VALID
464,True,True,VALID
465,True,True,VALID
466,True,True,VALID
467,True,True,VALID
468,True,True,VALID
469,True,True,VALID
470,True,True,VALID
471,True,True,VALID
472,True,True,VALID
473,True,True,VALID
474,True,True,VALID
475,True,True,VALID
476,True,True,VALID
477,True,True,VALID
478,True,True,VALID
479,True,True,VALID
480,True,True,VALID
481,True,True,VALID
482,True,True,VALID
483,True,True,VALID
484,True,True,VALID
485,True,True,VALID
486,True,True,VALID
487,True,True,VALID
488,True,True,VALID
489,True,True,VALID
490,True,True,VALID
491,True,True,VALID
492,True,True,VALID
493,True,True,VALID
494,True,True,VALID
495,True,True,VALID
496,True,True,VALID
497,True,True,VALID
498,True,True,VALID
499,True,True,VALID
500,True,True,VALID
501,True,True,VALID
502,True,True,VALID
503,True,True,VALID
504,True,True,VALID
505,True,True,VALID
506,True,True,VALID
507,True,True,VALID
508,True,True,VALID
509,True,True,VALID
510,True,True,VALID
511,True,True,VALID
512,True,True,VALID
513,True,True,VALID
514,True,True,VALID
515,True,True,VALID
516,True,True,VALID
517,True,True,VALID
518,True,True,VALID
519,True,True,VALID
520,True,True,VALID
521,True,True,VALID
522,True,True,VALID
523,True,True,VALID
524,True,True,VALID
525,True,True,VALID
526,True,True,VALID
527,True,True,VALID
528,True,True,VALID
529,True,True,VALID
530,True,True,VALID
531,True,True,VALID
532,True,True,VALID
533,True,True,VALID
534,True,True,VALID
535,True,True,VALID
536,True,True,VALID
537,True,True,VALID
538,True,True,VALID
539,True,True,VALID
540,True,True,VALID
541,True,True,VALID
542,True,True,VALID
543,True,True,VALID
544,True,True,VALID
545,True,True,VALID
546,True,True,VALID
547,True,True,VALID
548,True,True,VALID
549,True,True,VALID
550,True,True,VALID
551,True,True,VALID
552,True,True,VALID
553,True,True,VALID
554,True,True,VALID
555,True,True,VALID
556,True,True,VALID
557,True,True,VALID
558,True,True,VALID
559,True,True,VALID
560,True,True,VALID
561,True,True,VALID
562,True,True,VALID
563,True,True,VALID
564,True,True,VALID
565,True,True,VALID
566,True,True,VALID
567,True,True,VALID
568,True,True,VALID
569,True,True,VALID
570,True,True,VALID
571,True,True,VALID
572,True,True,VALID
573,True,True,VALID
574,True,True,VALID
575,True,True,VALID
576,True,True,VALID
577,True,True,VALID
578,True,True,VALID
579,True,True,VALID
580,True,True,VALID
581,True,True,VALID
582,True,True,VALID
583,True,True,VALID
584,True,True,VALID
585,True,True,VALID
586,True,True,VALID
587,True,True,VALID
588,True,True,VALID
589,True,True,VALID
590,True,True,VALID
591,True,True,VALID
592,True,True,VALID
593,True,True,VALID
594,True,True,VALID
595,True,True,VALID
596,True,True,VALID
597,True,True,VALID
598,True,True,VALID
599,True,True,VALID
600,True,True,VALID
601,True,True,VALID
602,True,True,VALID
603,True,True,VALID
604,True,True,VALID
605,True,True,VALID
606,True,True,VALID
607,True,True,VALID
608,True,True,VALID
609,True,True,VALID
610,True,True,VALID
611,True,True,VALID
612,True,True,VALID
613,True,True,VALID
614,True,True,VALID
615,True,True,VALID
616,True,True,VALID
617,True,True,VALID
618,True,True,VALID
619,True,True,VALID
620,True,True,VALID
621,True,True,VALID
622,True,True,VALID
623,True,True,VALID
624,True,True,VALID
625,True,True,VALID
626,True,True,VALID
627,True,True,VALID
628,True,True,VALID
629,True,True,VALID
630,True,True,VALID
631,True,True,VALID
632,True,True,VALID
633,True,True,VALID
634,True,True,VALID
635,True,True,VALID
636,True,True,VALID
637,True,True,VALID
638,True,True,VALID
639,True,True,VALID
640,True,True,VALID
641,True,True,VALID
642,True,True,VALID
643,True,True,VALID
644,True,True,VALID
645,True,True,VALID
646,True,True,VALID
647,True,True,VALID
648,True,True,VALID
649,True,True,VALID
650,True,True,VALID
651,True,True,VALID
652,True,True,VALID
653,True,True,VALID
654,True,True,VALID
655,True,True,VALID
656,True,True,VALID
657,True,True,VALID
658,True,True,VALID
659,True,True,VALID
660,True,True,VALID
661,True,True,VALID
662,True,True,VALID
663,True,True,VALID
664,True,True,VALID
665,True,True,VALID
666,True,True,VALID
667,True,True,VALID
668,True,True,VALID
669,True,True,VALID
670,True,True,VALID
671,True,True,VALID
672,True,True,VALID
673,True,True,VALID
674,True,True,VALID
675,True,True,VALID
676,True,True,VALID
677,True,True,VALID
678,True,True,VALID
679,True,True,VALID
680,True,True,VALID
681,True,True,VALID
682,True,True,VALID
683,True,True,VALID
684,True,True,VALID
685,True,True,VALID
686,True,True,VALID
687,True,True,VALID
688,True,True,VALID
689,True,True,VALID
690,True,True,VALID
691,True,True,VALID
692,True,True,VALID
693,True,True,VALID
694,True,True,VALID
695,True,True,VALID
696,True,True,VALID
697,True,True,VALID
698,True,True,VALID
699,True,True,VALID
700,True,True,VALID
701,True,True,VALID
702,True,True,VALID
703,True,True,VALID
704,True,True,VALID
705,True,True,VALID
706,True,True,VALID
707,True,True,VALID
708,True,True,VALID
709,True,True,VALID
710,True,True,VALID
711,True,True,VALID
712,True,True,VALID
713,True,True,VALID
714,True,True,VALID
715,True,True,VALID
716,True,True,VALID
717,True,True,VALID
718,True,True,VALID
719,True,True,VALID
720,True,True,VALID
721,True,True,VALID
722,True,True,VALID
723,True,True,VALID
724,True,True,VALID
725,True,True,VALID
726,True,True,VALID
727,True,True,VALID
728,True,True,VALID
729,True,True,VALID
730,True,True,VALID
731,True,True,VALID
732,True,True,VALID
733,True,True,VALID
734,True,True,VALID
735,True,True,VALID
736,True,True,VALID
737,True,True,VALID
738,True,True,VALID
739,True,True,VALID
740,True,True,VALID
741,True,True,VALID
742,True,True,VALID
743,True,True,VALID
744,True,True,VALID
745,True,True,VALID
746,True,True,VALID
747,True,True,VALID
748,True,True,VALID
749,True,True,VALID
750,True,True,VALID
751,True,True,VALID
752,True,True,VALID
753,True,True,VALID
754,True,True,VALID
755,True,True,VALID
756,True,True,VALID
757,True,True,VALID
758,True,True,VALID
759,True,True,VALID
760,True,True,VALID
761,True,True,VALID
762,True,True,VALID
763,True,True,VALID
764,True,True,VALID
765,True,True,VALID
766,True,True,VALID
767,True,True,VALID
768,True,True,VALID
769,True,True,VALID
770,True,True,VALID
771,True,True,VALID
772,True,True,VALID
773,True,True,VALID
774,True,True,VALID
775,True,True,VALID
776,True,True,VALID
777,True,True,VALID
778,True,True,VALID
779,True,True,VALID
780,True,True,VALID
781,True,True,VALID
782,True,True,VALID
783,True,True,VALID
784,True,True,VALID
785,True,True,VALID
786,True,True,VALID
787,True,True,VALID
788,True,True,VALID
789,True,True,VALID
790,True,True,VALID
791,True,True,VALID
792,True,True,VALID
793,True,True,VALID
794,True,True,VALID
795,True,True,VALID
796,True,True,VALID
797,True,True,VALID
798,True,True,VALID
799,True,True,VALID
800,True,True,VALID
801,True,True,VALID
802,True,True,VALID
803,True,True,VALID
804,True,True,VALID
805,True,True,VALID
806,True,True,VALID
807,True,True,VALID
808,True,True,VALID
809,True,True,VALID
810,True,True,VALID
811,True,True,VALID
812,True,True,VALID
813,True,True,VALID
814,True,True,VALID
815,True,True,VALID
816,True,True,VALID
817,True,True,VALID
818,True,True,VALID
819,True,True,VALID
820,True,True,VALID
821,True,True,VALID
822,True,True,VALID
823,True,True,VALID
824,True,True,VALID
825,True,True,VALID
826,True,True,VALID
827,True,True,VALID
828,True,True,VALID
829,True,True,VALID
830,True,True,VALID
831,True,True,VALID
832,True,True,VALID
833,True,True,VALID
834,True,True,VALID
835,True,True,VALID
836,True,True,VALID
837,True,True,VALID
838,True,True,VALID
839,True,True,VALID
840,True,True,VALID
841,True,True,VALID
842,True,True,VALID
843,True,True,VALID
844,True,True,VALID
845,True,True,VALID
846,True,True,VALID
847,True,True,VALID
848,True,True,VALID
849,True,True,VALID
850,True,True,VALID
851,True,True,VALID
852,True,True,VALID
853,True,True,VALID
854,True,True,VALID
855,True,True,VALID
856,True,True,VALID
857,True,True,VALID
858,True,True,VALID
859,True,True,VALID
860,True,True,VALID
861,True,True,VALID
862,True,True,VALID
863,True,True,VALID
864,True,True,VALID
865,True,True,VALID
866,True,True,VALID
867,True,True,VALID
868,True,True,VALID
869,True,True,VALID
870,True,True,VALID
871,True,True,VALID
872,True,True,VALID
873,True,True,VALID
874,True,True,VALID
875,True,True,VALID
876,True,True,VALID
877,True,True,VALID
878,True,True,VALID
879,True,True,VALID
880,True,True,VALID
881,True,True,VALID
882,True,True,VALID
883,True,True,VALID
884,True,True,VALID
885,True,True,VALID
886,True,True,VALID
887,True,True,VALID
888,True,True,VALID
889,True,True,VALID
890,True,True,VALID
891,True,True,VALID
892,True,True,VALID
893,True,True,VALID
894,True,True,VALID
895,True,True,VALID
896,True,True,VALID
897,True,True,VALID
898,True,True,VALID
899,True,True,VALID
900,True,True,VALID
901,True,True,VALID
902,True,True,VALID
903,True,True,VALID
904,True,True,VALID
905,True,True,VALID
906,True,True,VALID
907,True,True,VALID
908,True,True,VALID
909,True,True,VALID
910,True,True,VALID
911,True,True,VALID
912,True,True,VALID
913,True,True,VALID
914,True,True,VALID
915,True,True,VALID
916,True,True,VALID
917,True,True,VALID
918,True,True,VALID
919,True,True,VALID
920,True,True,VALID
921,True,True,VALID
922,True,True,VALID
923,True,True,VALID
924,True,True,VALID
925,True,True,VALID
926,True,True,VALID
927,True,True,VALID
928,True,True,VALID
929,True,True,VALID
930,True,True,VALID
931,True,True,VALID
932,True,True,VALID
933,True,True,VALID
934,True,True,VALID
935,True,True,VALID
936,True,True,VALID
937,True,True,VALID
938,True,True,VALID
939,True,True,VALID
940,True,True,VALID
941,True,True,VALID
942,True,True,VALID
943,True,True,VALID
944,True,True,VALID
945,True,True,VALID
946,True,True,VALID
947,True,True,VALID
948,True,True,VALID
949,True,True,VALID
950,True,True,VALID
951,True,True,VALID
952,True,True,VALID
953,True,True,VALID
954,True,True,VALID
955,True,True,VALID
956,True,True,VALID
957,True,True,VALID
958,True,True,VALID
959,True,True,VALID
960,True,True,VALID
961,True,True,VALID
962,True,True,VALID
963,True,True,VALID
964,True,True,VALID
965,True,True,VALID
966,True,True,VALID
967,True,True,VALID
968,True,True,VALID
969,True,True,VALID
970,True,True,VALID
971,True,True,VALID
972,True,True,VALID
973,True,True,VALID
974,True,True,VALID
975,True,True,VALID
976,True,True,VALID
977,True,True,VALID
978,True,True,VALID
979,True,True,VALID
980,True,True,VALID
981,True,True,VALID
982,True,True,VALID
983,True,True,VALID
984,True,True,VALID
985,True,True,VALID
986,True,True,VALID
987,True,True,VALID
988,True,True,VALID
989,True,True,VALID
990,True,True,VALID
991,True,True,VALID
992,True,True,VALID
993,True,True,VALID
994,True,True,VALID
995,True,True,VALID
996,True,True,VALID
997,True,True,VALID
998,True,True,VALID
999,True,True,VALID
1000,True,True,VALID
1001,True,True,VALID
1002,True,True,VALID
1003,True,True,VALID
1004,True,True,VALID
1005,True,True,VALID
1006,True,True,VALID
1007,True,True,VALID
1008,True,True,VALID
1009,True,True,VALID
1010,True,True,VALID
1011,True,True,VALID
1012,True,True,VALID
1013,True,True,VALID
1014,True,True,VALID
1015,True,True,VALID
1016,True,True,VALID
1017,True,True,VALID
1018,True,True,VALID
1019,True,True,VALID
1020,True,True,VALID
1021,True,True,VALID
1022,True,True,VALID
1023,True,True,VALID
1024,True,True,VALID
1025,True,True,VALID
1026,True,True,VALID
1027,True,True,VALID
1028,True,True,VALID
1029,True,True,VALID
1030,True,True,VALID
1031,True,True,VALID
1032,True,True,VALID
1033,True,True,VALID
1034,True,True,VALID
1035,True,True,VALID
1036,True,True,VALID
1037,True,True,VALID
1038,True,True,VALID
1039,True,True,VALID
1040,True,True,VALID
1041,True,True,VALID
1042,True,True,VALID
1043,True,True,VALID
1044,True,True,VALID
1045,True,True,VALID
1046,True,True,VALID
1047,True,True,VALID
1048,True,True,VALID
1049,True,True,VALID
1050,True,True,VALID
1051,True,True,VALID
1052,True,True,VALID
1053,True,True,VALID
1054,True,True,VALID
1055,True,True,VALID
1056,True,True,VALID
1057,True,True,VALID
1058,True,True,VALID
1059,True,True,VALID
1060,True,True,VALID
1061,True,True,VALID
1062,True,True,VALID
1063,True,True,VALID
1064,True,True,VALID
1065,True,True,VALID
1066,True,True,VALID
1067,True,True,VALID
1068,True,True,VALID
1069,True,True,VALID
1070,True,True,VALID
1071,True,True,VALID
1072,True,True,VALID
1073,True,True,VALID
1074,True,True,VALID
1075,True,True,VALID
1076,True,True,VALID
1077,True,True,VALID
1078,True,True,VALID
1079,True,True,VALID
1080,True,True,VALID
1081,True,True,VALID
1082,True,True,VALID
1083,True,True,VALID
1084,True,True,VALID
1085,True,True,VALID
1086,True,True,VALID
1087,True,True,VALID
1088,True,True,VALID
1089,True,True,VALID
1090,True,True,VALID
1091,True,True,VALID
1092,True,True,VALID
1093,True,True,VALID
1094,True,True,VALID
1095,True,True,VALID
1096,True,True,VALID
1097,True,True,VALID
1098,True,True,VALID
1099,True,True,VALID
1100,True,True,VALID
1101,True,True,VALID
1102,True,True,VALID
1103,True,True,VALID
1104,True,True,VALID
1105,True,True,VALID
1106,True,True,VALID
1107,True,True,VALID
1108,True,True,VALID
1109,True,True,VALID
1110,True,True,VALID
1111,True,True,VALID
1112,True,True,VALID
1113,True,True,VALID
1114,True,True,VALID
1115,True,True,VALID
1116,True,True,VALID
1117,True,True,VALID
1118,True,True,VALID
1119,True,True,VALID
1120,True,True,VALID
1121,True,True,VALID
1122,True,True,VALID
1123,True,True,VALID
1124,True,True,VALID
1125,True,True,VALID
1126,True,True,VALID
1127,True,True,VALID
1128,True,True,VALID
1129,True,True,VALID
1130,True,True,VALID
1131,True,True,VALID
1132,True,True,VALID
1133,True,True,VALID
1134,True,True,VALID
1135,True,True,VALID
1136,True,True,VALID
1137,True,True,VALID
1138,True,True,VALID
1139,True,True,VALID
1140,True,True,VALID
1141,True,True,VALID
1142,True,True,VALID
1143,True,True,VALID
1144,True,True,VALID
1145,True,True,VALID
1146,True,True,VALID
1147,True,True,VALID
1148,True,True,VALID
1149,True,True,VALID
1150,True,True,VALID
1151,True,True,VALID
1152,True,True,VALID
1153,True,True,VALID
1154,True,True,VALID
1155,True,True,VALID
1156,True,True,VALID
1157,True,True,VALID
1158,True,True,VALID
1159,True,True,VALID
1160,True,True,VALID
1161,True,True,VALID
1162,True,True,VALID
1163,True,True,VALID
1164,True,True,VALID
1165,True,True,VALID
1166,True,True,VALID
1167,True,True,VALID
1168,True,True,VALID
1169,True,True,VALID
1170,True,True,VALID
1171,True,True,VALID
1172,True,True,VALID
1173,True,True,VALID
1174,True,True,VALID
1175,True,True,VALID
1176,True,True,VALID
1177,True,True,VALID
1178,True,True,VALID
1179,True,True,VALID
1180,True,True,VALID
1181,True,True,VALID
1182,True,True,VALID
1183,True,True,VALID
1184,True,True,VALID
1185,True,True,VALID
1186,True,True,VALID
1187,True,True,VALID
1188,True,True,VALID
1189,True,True,VALID
1190,True,True,VALID
1191,True,True,VALID
1192,True,True,VALID
1193,True,True,VALID
1194,True,True,VALID
1195,True,True,VALID
1196,True,True,VALID
1197,True,True,VALID
1198,True,True,VALID
1199,True,True,VALID
1200,True,True,VALID
1201,True,True,VALID
1202,True,True,VALID
1203,True,True,VALID
1204,True,True,VALID
1205,True,True,VALID
1206,True,True,VALID
1207,True,True,VALID
1208,True,True,VALID
1209,True,True,VALID
1210,True,True,VALID
1211,True,True,VALID
1212,True,True,VALID
1213,True,True,VALID
1214,True,True,VALID
1215,True,True,VALID
1216,True,True,VALID
1217,True,True,VALID
1218,True,True,VALID
1219,True,True,VALID
1220,True,True,VALID
1221,True,True,VALID
1222,True,True,VALID
1223,True,True,VALID
1224,True,True,VALID
1225,True,True,VALID
1226,True,True,VALID
1227,True,True,VALID
1228,True,True,VALID
1229,True,True,VALID
1230,True,True,VALID
1231,True,True,VALID
1232,True,True,VALID
1233,True,True,VALID
1234,True,True,VALID
1235,True,True,VALID
1236,True,True,VALID
1237,True,True,VALID
1238,True,True,VALID
1239,True,True,VALID
1240,True,True,VALID
1241,True,True,VALID
1242,True,True,VALID
1243,True,True,VALID
1244,True,True,VALID
1245,True,True,VALID
1246,True,True,VALID
1247,True,True,VALID
1248,True,True,VALID
1249,True,True,VALID
1250,True,True,VALID
1251,True,True,VALID
1252,True,True,VALID
1253,True,True,VALID
1254,True,True,VALID
1255,True,True,VALID
1256,True,True,VALID
1257,True,True,VALID
1258,True,True,VALID
1259,True,True,VALID
1260,True,True,VALID
1261,True,True,VALID
1262,True,True,VALID
1263,True,True,VALID
1264,True,True,VALID
1265,True,True,VALID
1266,True,True,VALID
1267,True,True,VALID
1268,True,True,VALID
1269,True,True,VALID
1270,True,True,VALID
1271,True,True,VALID
1272,True,True,VALID
1273,True,True,VALID
1274,True,True,VALID
1275,True,True,VALID
1276,True,True,VALID
1277,True,True,VALID
1278,True,True,VALID
1279,True,True,VALID
1280,True,True,VALID
1281,True,True,VALID
1282,True,True,VALID
1283,True,True,VALID
1284,True,True,VALID
1285,True,True,VALID
1286,True,True,VALID
1287,True,True,VALID
1288,True,True,VALID
1289,True,True,VALID
1290,True,True,VALID
1291,True,True,VALID
1292,True,True,VALID
1293,True,True,VALID
1294,True,True,VALID
1295,True,True,VALID
1296,True,True,VALID
1297,True,True,VALID
1298,True,True,VALID
1299,True,True,VALID
1300,True,True,VALID
1301,True,True,VALID
1302,True,True,VALID
1303,True,True,VALID
1304,True,True,VALID
1305,True,True,VALID
1306,True,True,VALID
1307,True,True,VALID
1308,True,True,VALID
1309,True,True,VALID
1310,True,True,VALID
1311,True,True,VALID
1312,True,True,VALID
1313,True,True,VALID
1314,True,True,VALID
1315,True,True,VALID
1316,True,True,VALID
1317,True,True,VALID
1318,True,True,VALID
1319,True,True,VALID
1320,True,True,VALID
1321,True,True,VALID
1322,True,True,VALID
1323,True,True,VALID
1324,True,True,VALID
1325,True,True,VALID
1326,True,True,VALID
1327,True,True,VALID
1328,True,True,VALID
1329,True,True,VALID
1330,True,True,VALID
1331,True,True,VALID
1332,True,True,VALID
1333,True,True,VALID
1334,True,True,VALID
1335,True,True,VALID
1336,True,True,VALID
1337,True,True,VALID
1338,True,True,VALID
1339,True,True,VALID
1340,True,True,VALID
1341,True,True,VALID
1342,True,True,VALID
1343,True,True,VALID
1344,True,True,VALID
1345,True,True,VALID
1346,True,True,VALID
1347,True,True,VALID
1348,True,True,VALID
1349,True,True,VALID
1350,True,True,VALID
1351,True,True,VALID
1352,True,True,VALID
1353,True,True,VALID
1354,True,True,VALID
1355,True,True,VALID
1356,True,True,VALID
1357,True,True,VALID
1358,True,True,VALID
1359,True,True,VALID
1360,True,True,VALID
